,Unnamed: 0,listing_url,last_scraped,source,name,neighborhood_overview,picture_url,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_picture_url,host_neighbourhood,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,bathrooms_text,amenities,price,calendar_updated,has_availability,instant_bookable,id,scrape_id,host_id,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_communication,review_scores_location,reviews_per_month
0,0,https://www.airbnb.com/rooms/2992450,2024-11-05,city scrape,Luxury 2 bedroom apartment,nice,https://a0.muscache.com/pictures/44627226/0e72c75c_original.jpg,https://www.airbnb.com/users/show/4621559,Kenneth,2013-01-07,"New York, NY",I am a real down to earth & cool person.,unknown,1.0,100%,f,https://a0.muscache.com/im/users/4621559/profile_pic/1363081467/original.jpg?aki_policy=profile_x_medium,unknown,"['email', 'phone']",t,f,Neighborhood highlights,THIRD WARD,Entire rental unit,Entire home/apt,1 bath,"[""Wifi"", ""Kitchen"", ""Air conditioning"", ""Heating"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Essentials"", ""TV with standard cable""]",70.0,within data,t,f,2992450,20241105062440,4621559,1.0,5.0,42.65789,-73.7537,4.0,1.0,2.0,2.0,1.7,1125,219,9.0,4.9,4.9,4.9,4.8,0.07
1,1,https://www.airbnb.com/rooms/3820211,2024-11-05,previous scrape,Restored Precinct in Center Sq. w/Parking,"Great restaurants, architecture, walking, people watching and arts.",https://a0.muscache.com/pictures/prohost-api/Hosting-3820211/original/7a087429-5f8f-4c7f-990a-291a82b784dc.jpeg,https://www.airbnb.com/users/show/19648678,Terra,2014-08-07,"New York, NY","I'm from Kansas City, MO. I've driven the entire US, logging over a  million miles on a 10 year working road trip. I settled in Albany, NY, a hardworking, no-nonsense sort of town, drenched in history, education and politics. I love this town not just for the town itself as much as the location. It's truly a sportsman's(sportswoman's) paradise, while being so close to very civilized civilization. There's easy access to NYC, Saratoga, Lake George, Vermont, Montreal & my favorite The Berkshires in Massachusetts.  ",within an hour,100%,82%,f,https://a0.muscache.com/im/users/19648678/profile_pic/1407449767/original.jpg?aki_policy=profile_x_medium,Center Square & Hudson/Park,"['email', 'phone']",t,t,Neighborhood highlights,SIXTH WARD,Entire rental unit,Entire home/apt,1 bath,"[""Hangers"", ""Stove"", ""Free washer \u2013 In unit"", ""Hair dryer"", ""Heating"", ""Keypad"", ""Iron"", ""Self check-in"", ""Dishwasher"", ""Dishes and silverware"", ""Pets allowed"", ""Fire extinguisher"", ""Central air conditioning"", ""Free parking on premises"", ""Essentials"", ""Refrigerator"", ""Hot water"", ""Cooking basics"", ""Oven"", ""Free dryer \u2013 In unit"", ""Carbon monoxide alarm"", ""HDTV with standard cable, Apple TV"", ""Wifi"", ""Kitchen"", ""Smoke alarm"", ""Shampoo"", ""Microwave"", ""Coffee maker""]",100.0,within data,t,f,3820211,20241105062440,19648678,4.0,7.0,42.65222,-73.76724,2.0,1.0,1.0,1.0,2.0,1125,363,30.6,4.75,4.87,4.81,4.82,2.46
2,2,https://www.airbnb.com/rooms/5651579,2024-11-05,city scrape,Large studio apt  by Capital Center & ESP@,"The neighborhood is very eclectic. We have a variety of restaurants, markets and shopping along with cultural things to do . the Capital is within a five minute walk as is the Empire Plaza. We have Cafe Capricio on Grand St for great northern Italian. Down the street we also have a traditional well known Italian restaurant Lombardos, for great red sauce. There are plenty of small cafe/ bars within walking distance too",https://a0.muscache.com/pictures/b3fc42f3-6e5e-4704-9d0f-8ceee5d32046.jpg,https://www.airbnb.com/users/show/29288920,Gregg,2015-03-13,"Albany, NY",I am an Albany native .I have lived in Ireland and had a B & B in Tramore County Waterford back in the early nineties. While doing so we met a lot of wonderful people. I have been in the real estate business for over 30 years . I believe in keeping the mind and body fit. I am easy going and love a good laugh. ,within an hour,100%,99%,f,https://a0.muscache.com/im/users/29288920/profile_pic/1426286865/original.jpg?aki_policy=profile_x_medium,unknown,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,SECOND WARD,Entire rental unit,Entire home/apt,1 bath,"[""Hangers"", ""Stove"", ""Free washer \u2013 In unit"", ""Hair dryer"", ""Heating"", ""Iron"", ""Bed linens"", ""Self check-in"", ""Dishes and silverware"", ""Fire extinguisher"", ""Free parking on premises"", ""Essentials"", ""Refrigerator"", ""Hot water"", ""Luggage dropoff allowed"", ""Cooking basics"", ""Oven"", ""Free dryer \u2013 In unit"", ""Lockbox"", ""Air conditioning"", ""Free street parking"", ""Backyard"", ""Carbon monoxide alarm"", ""Private entrance"", ""Wifi"", ""Kitchen"", ""Dedicated workspace"", ""Smoke alarm"", ""Shampoo"", ""Microwave"", ""Long term stays allowed"", ""Coffee maker"", ""TV""]",75.0,within data,t,f,5651579,20241105062440,29288920,2.0,2.0,42.64615,-73.75966,2.0,1.0,0.0,1.0,2.0,45,21,30.6,4.51,4.45,4.87,4.76,3.2
3,3,https://www.airbnb.com/rooms/6623339,2024-11-05,city scrape,Center Sq. Loft in Converted Precinct w/ Parking,"Located in Albany's finest urban neighborhood, bordering on beautiful Washington Park and funky Lark Street with its many shops and restaurants,. The building is a walking distance to downtown, the Capitol, Albany Med, Albany Law, and SUNY Albany. Literally only steps to all of life's needs.",https://a0.muscache.com/pictures/prohost-api/Hosting-6623339/original/fe9b077d-2c75-458d-a4c1-71fed46d598a.jpeg,https://www.airbnb.com/users/show/19648678,Terra,2014-08-07,"Albany, NY","I'm from Kansas City, MO. I've driven the entire US, logging over a  million miles on a 10 year working road trip. I settled in Albany, NY, a hardworking, no-nonsense sort of town, drenched in history, education and politics. I love this town not just for the town itself as much as the location. It's truly a sportsman's(sportswoman's) paradise, while being so close to very civilized civilization. There's easy access to NYC, Saratoga, Lake George, Vermont, Montreal & my favorite The Berkshires in Massachusetts.  ",within an hour,100%,82%,f,https://a0.muscache.com/im/users/19648678/profile_pic/1407449767/original.jpg?aki_policy=profile_x_medium,Center Square & Hudson/Park,"['email', 'phone']",t,t,Neighborhood highlights,SIXTH WARD,Entire rental unit,Entire home/apt,1 bath,"[""Hangers"", ""Stove"", ""Hair dryer"", ""Heating"", ""Patio or balcony"", ""Keypad"", ""Extra pillows and blankets"", ""Iron"", ""Bed linens"", ""Self check-in"", ""Dishwasher"", ""Dishes and silverware"", ""Dryer"", ""Washer"", ""Free parking on premises"", ""Essentials"", ""Refrigerator"", ""Hot water"", ""Cooking basics"", ""Oven"", ""Air conditioning"", ""Free street parking"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Private entrance"", ""Wifi"", ""Kitchen"", ""Smoke alarm"", ""Shampoo"", ""Microwave"", ""Coffee maker""]",117.0,within data,t,f,6623339,20241105062440,19648678,4.0,7.0,42.65222,-73.76724,2.0,1.0,1.0,1.0,2.0,1125,339,30.6,4.73,4.71,4.7,4.8,2.86
4,4,https://www.airbnb.com/rooms/9005989,2024-11-05,city scrape,"Studio in The heart of Center SQ, in Albany NY","There are many shops, restaurants, bars, museums, and concert venues within walking distance of the apartment! The City’s largest park, Washington Park, is less than one block away!  Many State offices and Government buildings are also in close proximity.",https://a0.muscache.com/pictures/d242a77e-437c-4d0a-9029-005a05f8d282.jpg,https://www.airbnb.com/users/show/17766924,Sugey,2014-07-07,"Albany, NY",Hi! I'm a person who loves to travel and enjoys spending time learning about other cultures..,within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/ae311d04-cbca-423a-aa92-8a4b3d6997de.jpg?aki_policy=profile_x_medium,unknown,"['email', 'phone']",t,t,Neighborhood highlights,SIXTH WARD,Entire rental unit,Entire home/apt,1 bath,"[""Hangers"", ""Stove"", ""Shower gel"", ""Hair dryer"", ""Heating"", ""Portable fans"", ""Bed linens"", ""Conditioner"", ""Self check-in"", ""Dishwasher"", ""Dishes and silverware"", ""Pets allowed"", ""Window AC unit"", ""Fire extinguisher"", ""Pack \u2019n play/Travel crib"", ""Essentials"", ""Refrigerator"", ""Hot water"", ""Cooking basics"", ""Oven"", ""Smart lock"", ""Free street parking"", ""Carbon monoxide alarm"", ""Laundromat nearby"", ""Private entrance"", ""Wifi"", ""Kitchen"", ""Smoke alarm"", ""Shampoo"", ""Microwave"", ""Long term stays allowed"", ""Coffee maker"", ""TV""]",85.0,within data,t,f,9005989,20241105062440,17766924,1.0,1.0,42.65559,-73.76506,4.0,1.0,1.0,2.0,1.0,1125,357,30.6,4.79,4.83,4.93,4.87,5.96
5,5,https://www.airbnb.com/rooms/9501054,2024-11-05,city scrape,Spacious suite with full bath by Capital  Center,"The place is located in the Historic Mansion neighborhood . It""s  a great mix of people , close to everything there is to see and do in downtown Albany. Walk to the Governors Mansion, The new Capital Center Convention Center, The Times Union Center for entertainment , and all sorts of culinary delights. Plenty of brew pubs and Italian restaurants",https://a0.muscache.com/pictures/45153167-d704-48ed-9320-ab2f139bd352.jpg,https://www.airbnb.com/users/show/29288920,Gregg,2015-03-13,"Albany, NY",I am an Albany native .I have lived in Ireland and had a B & B in Tramore County Waterford back in the early nineties. While doing so we met a lot of wonderful people. I have been in the real estate business for over 30 years . I believe in keeping the mind and body fit. I am easy going and love a good laugh. ,within an hour,100%,99%,f,https://a0.muscache.com/im/users/29288920/profile_pic/1426286865/original.jpg?aki_policy=profile_x_medium,unknown,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,SECOND WARD,Private room in rental unit,Private room,1 private bath,"[""Hangers"", ""Shower gel"", ""Hair dryer"", ""Heating"", ""Portable fans"", ""Iron"", ""Bed linens"", ""Mini fridge"", ""Self check-in"", ""Dishes and silverware"", ""Window AC unit"", ""Essentials"", ""Refrigerator"", ""Hot water"", ""Lockbox"", ""Lock on bedroom door"", ""Free street parking"", ""Carbon monoxide alarm"", ""Laundromat nearby"", ""TV with standard cable"", ""Private entrance"", ""Wifi"", ""Dedicated workspace"", ""Smoke alarm"", ""Shampoo"", ""Microwave"", ""Long term stays allowed"", ""Coffee maker""]",65.0,within data,t,f,9501054,20241105062440,29288920,2.0,2.0,42.64734,-73.75851,2.0,1.0,1.0,2.0,1.0,60,64,30.6,4.55,4.5,4.86,4.76,3.76
6,6,https://www.airbnb.com/rooms/10768745,2024-11-05,city scrape,Alb hospital area studio bath wifi. (Red),nice,https://a0.muscache.com/pictures/aa3b62f5-fbd8-4afd-8104-b93a8711d80f.jpg,https://www.airbnb.com/users/show/5691268,Elizabeth,2013-03-30,"Albany, NY",I'm Irish living in Albany NY.  I have 3 grown up kids.  I have 2 chihuauas    I am visiting Toronto to meet my sister and nephew who are visiting from Ireland.  Don't smoke or drink just love my dogs!,within an hour,100%,96%,t,https://a0.muscache.com/im/pictures/user/d34e69f3-8c6e-48e7-b3f5-c2d42939675a.jpg?aki_policy=profile_x_medium,unknown,"['email', 'phone']",t,t,Neighborhood highlights,FOURTEENTH WARD,Entire home,Entire home/apt,1 bath,"[""Hangers"", ""Single level home"", ""Hair dryer"", ""Heating"", ""Patio or balcony"", ""Iron"", ""Bed linens"", ""Bread maker"", ""Self check-in"", ""Dishes and silverware"", ""Window AC unit"", ""Free parking on premises"", ""Essentials"", ""Refrigerator"", ""Hot water"", ""Oven"", ""Barbecue utensils"", ""Lockbox"", ""Ethernet connection"", ""Carbon monoxide alarm"", ""Baking sheet"", ""TV with standard cable"", ""Wifi"", ""Kitchen"", ""Blender"", ""Dedicated workspace"", ""Smoke alarm"", ""Shampoo"", ""Microwave""]",50.0,within data,t,f,10768745,20241105062440,5691268,2.0,3.0,42.66078,-73.80553,1.0,1.0,1.0,1.0,1.0,1125,158,30.6,4.82,4.79,4.89,4.93,1.9
7,7,https://www.airbnb.com/rooms/11253948,2024-11-05,city scrape,/Fire Place Bungalow\ 1917 SUNY Eagle 6Beds 2Baths,"The super convenient area is one of the big selling points for this house.   <br /><br />On the South side of Western we have in order from East to West:<br />V Salon, All Saints Catholic Church, CVS, Dragon City Restaurant, Torino Pizza & Pasta, Mani de Leo Hair Salon, Fiorello Bakery & Deli, Courtney's Salon, DC's Pizza, Maggie's Sports Bar & Cafe, Roman Jewels, Pixie Hair Salon, Barcelona Restaurant-Wine Bar, KeyBank, CityLine Bar and Grill, Escape Smoke Shop, Best Western Hotel, Casa Real Mexican Restaurant, Days Inn, Dunkin Donuts, Across the Street Pub and Restaurant, Starbucks.<br /><br />On the North side of Western we have in order from East to West:<br />Sunoco Gas, University Plaza (Rite Aid, PizzaHut, DiBella's Subs, Boston Market, Wine & Liquor, Uncommon Grounds Coffee & Bagels, Pet Supplies Plus, Subway, Mobile Gas, Mobile Mart), University of Albany, Miami Sun Tanning.<br /><br />Best Western Hotel and a Days Inn are less than a 7min walk from the house so any additional",https://a0.muscache.com/pictures/f0e43651-0834-4cbd-9d7d-72ef465a316d.jpg,https://www.airbnb.com/users/show/4259750,Peter,2012-11-27,"Albany, NY","I was born in Poland but grew up in NY and now i'm back in NY after grad school in Europe.  I love sailing, flying gliders, hiking, hammocks, cycling, photography, travel, minimalism, tennis,  podcasts, and my KJV.  I started traveling airbnb during my time in Europe and now I’m a host in NY! 
Listings:
airbnb.com/h/38eden
airbnb.com/h/53eden
airbnb.com/h/55eden
airbnb.com/h/18home
airbnb.com/h/24miller
airbnb.com/h/24eden
airbnb.com/h/433western",within an hour,100%,87%,t,https://a0.muscache.com/im/pictures/user/cca29440-809e-4dcd-a844-221898102fa5.jpg?aki_policy=profile_x_medium,Pine Hills,"['email', 'phone']",t,t,Neighborhood highlights,FIFTEENTH WARD,Entire place,Entire home/apt,2 baths,"[""Hangers"", ""Heating"", ""Board games"", ""Body soap"", ""Cleaning products"", ""Refrigerator"", ""Hot water"", ""Bathtub"", ""Toaster"", ""Free street parking"", ""Books and reading material"", ""Baby bath"", ""Baking sheet"", ""Private entrance"", ""Shampoo"", ""Long term stays allowed"", ""Rice maker"", ""Coffee"", ""Baby safety gates"", ""Outdoor dining area"", ""Conditioner"", ""First aid kit"", ""Clothing storage: walk-in closet and wardrobe"", ""65 inch HDTV with Roku, premium cable, Amazon Prime Video, standard cable, Apple TV, Netflix, Hulu"", ""Pets allowed"", ""Game console"", ""Barbecue utensils"", ""Ethernet connection"", ""Stainless steel oven"", ""Dedicated workspace"", ""Smoke alarm"", ""Babysitter recommendations"", ""Ceiling fan"", ""Hair dryer"", ""Portable fans"", ""BBQ grill"", ""Keypad"", ""Extra pillows and blankets"", ""Iron"", ""Exterior security cameras on property"", ""Dishwasher"", ""Dishes and silverware"", ""High chair"", ""Private patio or balcony"", ""Window AC unit"", ""GE stainless steel gas stove"", ""Dining table"", ""Essentials"", ""Room-darkening shades"", ""Hot water kettle"", ""Sun loungers"", ""Garden view"", ""Cooking basics"", ""Free dryer \u2013 In unit"", ""Indoor fireplace: gas"", ""Carbon monoxide alarm"", ""Kitchen"", ""Coffee maker"", ""Private backyard \u2013 Not fully fenced"", ""Free washer \u2013 In unit"", ""Cleaning available during stay"", ""Shower gel"", ""Bed linens"", ""Self check-in"", ""Freezer"", ""Fire extinguisher"", ""Free parking on premises"", ""Pack \u2019n play/Travel crib"", ""Safe"", ""Sonos sound system with Bluetooth and aux"", ""Luggage dropoff allowed"", ""Drying rack for clothing"", ""Outdoor furniture"", ""Laundromat nearby"", ""Outlet covers"", ""Wifi"", ""Fire pit"", ""Blender"", ""Microwave"", ""Wine glasses""]",287.0,within data,t,f,11253948,20241105062440,4259750,8.0,14.0,42.67567,-73.82438,3.0,1.0,3.0,1.4,1.0,1124,353,30.6,4.95,4.98,4.96,4.94,1.62
8,8,https://www.airbnb.com/rooms/11639446,2024-11-05,city scrape,$55twin($30 foreign student)FreeBF Noa/c no smoke,One block away to unique organic honest weigh Co Op<br />One block away to shop rite<br />One block away to Central Avenue<br />Street parking,https://a0.muscache.com/pictures/1129f67c-dfb2-4a2c-bb1d-914a3245d600.jpg,https://www.airbnb.com/users/show/61700428,Adam,2016-03-05,"Albany, NY","Guest's satisfaction and happiness is much more important than money!
顾客的满意远比赚钱重要!我的初衷是帮助更多的人､服务更多的人~
We provide emotional comfort more than physically comfortable
我们提供的情感舒适度超过身体舒适度.",within an hour,100%,83%,f,https://a0.muscache.com/im/pictures/user/fcc2b09f-611c-457c-828b-43336a05dfae.jpg?aki_policy=profile_x_medium,unknown,"['email', 'phone']",t,t,Neighborhood highlights,ELEVENTH WARD,Private room in home,Private room,1.5 shared baths,"[""Hangers"", ""Hair dryer"", ""Heating"", ""Conditioner"", ""First aid kit"", ""Clothing storage: closet"", ""Dishes and silverware"", ""Dishwasher"", ""Essentials"", ""Safe"", ""Refrigerator"", ""Hot water"", ""Cooking basics"", ""Oven"", ""Free street parking"", ""Carbon monoxide alarm"", ""Books and reading material"", ""Free washer \u2013 In building"", ""Wifi"", ""Free dryer \u2013 In building"", ""Kitchen"", ""Breakfast"", ""Host greets you"", ""Smoke alarm"", ""Shampoo"", ""Microwave"", ""Long term stays allowed"", ""Gas stove""]",55.0,within data,t,f,11639446,20241105062440,61700428,2.0,2.0,42.67583,-73.78297,1.0,1.0,0.0,1.0,1.7,112,364,30.6,4.81,4.9,4.96,4.52,2.25
9,9,https://www.airbnb.com/rooms/12284708,2024-11-05,city scrape,"Well Lit Modern Room, Perfect Location Albany","BBQ spot directly across from house.<br />Convenience store with everything you would need at corner, next to BBQ spot.",https://a0.muscache.com/pictures/0adcd911-d1ad-4faf-af01-749343697b5d.jpg,https://www.airbnb.com/users/show/36438637,Chad,2015-06-22,"Albany, NY",Hi! I'm a person who loves to travel and enjoys spending time learning about other cultures..,within an hour,100%,96%,f,https://a0.muscache.com/im/pictures/user/b3382f39-e130-4af4-b2b6-b755d0a79db8.jpg?aki_policy=profile_x_medium,unknown,"['email', 'phone']",t,t,Neighborhood highlights,TENTH WARD,Private room in home,Private room,1 shared bath,"[""Hangers"", ""Stove"", ""Free washer \u2013 In unit"", ""Free driveway parking on premises"", ""Hair dryer"", ""Coffee maker: drip coffee maker, Keurig coffee machine"", ""Keypad"", ""Iron"", ""Bed linens"", ""Mini fridge"", ""First aid kit"", ""Self check-in"", ""Clothing storage: closet"", ""Dishes and silverware"", ""Dishwasher"", ""Freezer"", ""Window AC unit"", ""Central heating"", ""Fire extinguisher"", ""Dining table"", ""Essentials"", ""Cleaning products"", ""Refrigerator"", ""Hot water"", ""Luggage dropoff allowed"", ""Cooking basics"", ""Oven"", ""Bathtub"", ""Free dryer \u2013 In unit"", ""Lock on bedroom door"", ""Toaster"", ""Free street parking"", ""Carbon monoxide alarm"", ""Books and reading material"", ""Baking sheet"", ""TV with standard cable"", ""Wifi"", ""Kitchen"", ""Shared backyard \u2013 Fully fenced"", ""Blender"", ""Dedicated workspace"", ""Smoke alarm"", ""Microwave"", ""Long term stays allowed""]",45.0,within data,t,t,12284708,20241105062440,36438637,15.0,15.0,42.65912,-73.78349,2.0,1.0,1.0,1.0,1.7,365,189,61.0,4.61,4.46,4.81,4.73,0.59
